"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Discmania","Tactic","177.6","21.4","1.8","1.4","19.1","1.1","6.5","53.00","10.80","","","","20-02","Jan 16, 2020"
"Crosslap Discgolf Parks","Vigil","180.1","21.7","1.5","1.1","17.9","1.9","5.1","32.50","7.39","","","","19-76","Dec 5, 2019"
"RPM Discs/Disc Golf Aotearoa","Kotare (DGD3)","176.0","21.2","1.5","1.2","16.5","2.3","5.7","31.75","12.16","","","","19-77","Dec 5, 2019"
"Discmania","Sensei (Discmania Active)","176.8","21.3","2.3","1.4","19.2","1.0","6.6","71.00","10.68","","","","19-78","Dec 5, 2019"
"Dynamic Discs","Bounty","181.8","21.9","1.8","1.2","19.5","1.2","5.9","40.25","9.32","","","","19-79","Dec 5, 2019"
"Dynamic Discs","Sergeant","175.1","21.1","1.7","1.2","16.9","2.1","5.7","28.50","12.16","","","","19-80","Dec 5, 2019"
"Disctroyer OÜ","Sparrow (Varblane)","176.8","21.3","1.9","1.6","19.1","1.1","7.4","69.75","5.34","","","","19-75","Nov 21, 2019"
"Latitude 64","Sapphire","174.3","21.0","1.7","1.2","17.0","2.0","5.7","29.50","11.02","","","","19-72","Nov 12, 2019"
"Innova-Champion Discs","Avatar","180.1","21.7","1.8","1.4","19.0","1.1","6.6","52.25","8.30","","","","19-70","Oct 24, 2019"
"Infinite Discs","Ruin","180.9","21.8","1.8","1.4","19.1","1.3","6.4","49.25","7.73","","","","19-71","Oct 24, 2019"
"Thought Space Athletics","Mantra","176.0","21.2","1.7","1.2","17.1","2.0","5.7","32.00","9.09","","","","19-69","Oct 17, 2019"
"MINT Discs","Freetail","175.1","21.1","1.7","1.2","17.1","2.0","5.7","37.75","11.25","","","","19-63","Sep 16, 2019"
"Latitude 64","SPZ 1 (Putter, Zombie)","176.0","21.2","2.1","1.5","19.0","1.1","7.1","59.25","9.66","","","","19-65","Sep 16, 2019"
"Latitude 64","SPZ 2 (Midrange, Pirate)","180.1","21.7","1.9","1.3","19.1","1.3","6.0","43.00","7.95","","","","19-66","Sep 16, 2019"
"Latitude 64","SPZ 3 (Driver, Superhero)","175.1","21.1","1.8","1.2","17.3","1.9","5.7","31.25","9.77","","","","19-67","Sep 16, 2019"
"Infinite Discs","Aztec","176.0","21.2","1.5","1.1","16.9","2.1","5.2","33.00","10.80","","","","19-68","Sep 16, 2019"
"Discraft","Malta (Paul McBeth Proto Mid-Range)","176.8","21.3","1.7","1.3","18.6","1.3","6.1","45.00","10.34","","","","19-64","Sep 12, 2019"
"Innova-Champion Discs","Croc","175.1","21.1","2.0","1.4","18.3","1.4","6.6","56.25","12.16","","","","19-60","Sep 5, 2019"
"Prodigy Disc","FX-2","175.1","21.1","1.6","1.2","17.1","2.0","5.7","29.25","12.16","","","","19-61","Sep 5, 2019"
"Storm Disc Golf","Radar","175.1","21.1","2.0","1.5","19.1","1.0","7.1","55.50","8.41","","","","19-62","Sep 5, 2019"
